id,site_id,timestamp,generation_kwh,load_kwh,import_kwh,export_kwh,inverter_id,string_id,availability,source,is_fixture,quality_flags_json
obs_site_a_20260618_00,site_a,2026-06-18T00:00:00+08:00,0,110,110,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260618_01,site_a,2026-06-18T01:00:00+08:00,0,105,105,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260618_02,site_a,2026-06-18T02:00:00+08:00,0,98,98,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260618_03,site_a,2026-06-18T03:00:00+08:00,0,95,95,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260618_04,site_a,2026-06-18T04:00:00+08:00,0,98,98,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260618_05,site_a,2026-06-18T05:00:00+08:00,0,105,105,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260618_06,site_a,2026-06-18T06:00:00+08:00,0,150,150,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260618_07,site_a,2026-06-18T07:00:00+08:00,0,200,200,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260618_08,site_a,2026-06-18T08:00:00+08:00,160.18,260,99.82,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260618_09,site_a,2026-06-18T09:00:00+08:00,298.82,290,0,8.82,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260618_10,site_a,2026-06-18T10:00:00+08:00,416.67,310,0,106.67,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260618_11,site_a,2026-06-18T11:00:00+08:00,526.69,325,0,201.69,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260618_12,site_a,2026-06-18T12:00:00+08:00,583.34,320,0,263.34,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260618_13,site_a,2026-06-18T13:00:00+08:00,588.54,315,0,273.54,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260618_14,site_a,2026-06-18T14:00:00+08:00,582.19,305,0,277.19,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260618_15,site_a,2026-06-18T15:00:00+08:00,521.5,295,0,226.5,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260618_16,site_a,2026-06-18T16:00:00+08:00,420.92,280,0,140.92,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260618_17,site_a,2026-06-18T17:00:00+08:00,307.87,270,0,37.87,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260618_18,site_a,2026-06-18T18:00:00+08:00,154.68,260,105.32,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260618_19,site_a,2026-06-18T19:00:00+08:00,0,190,190,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260618_20,site_a,2026-06-18T20:00:00+08:00,0,155,155,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260618_21,site_a,2026-06-18T21:00:00+08:00,0,135,135,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260618_22,site_a,2026-06-18T22:00:00+08:00,0,120,120,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260618_23,site_a,2026-06-18T23:00:00+08:00,0,112,112,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260619_00,site_a,2026-06-19T00:00:00+08:00,0,110,110,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260619_01,site_a,2026-06-19T01:00:00+08:00,0,105,105,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260619_02,site_a,2026-06-19T02:00:00+08:00,0,98,98,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260619_03,site_a,2026-06-19T03:00:00+08:00,0,95,95,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260619_04,site_a,2026-06-19T04:00:00+08:00,0,98,98,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260619_05,site_a,2026-06-19T05:00:00+08:00,0,105,105,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260619_06,site_a,2026-06-19T06:00:00+08:00,0,150,150,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
