id,site_id,timestamp,irradiance_wm2,temperature_c,cloud_cover,rainfall_mm,source,is_fixture,quality_flags_json
wx_site_a_20260618_00,site_a,2026-06-18T00:00:00+08:00,0,27.2,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260618_01,site_a,2026-06-18T01:00:00+08:00,0,26.8,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260618_02,site_a,2026-06-18T02:00:00+08:00,0,26.5,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260618_03,site_a,2026-06-18T03:00:00+08:00,0,26.3,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260618_04,site_a,2026-06-18T04:00:00+08:00,0,26.2,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260618_05,site_a,2026-06-18T05:00:00+08:00,0,26.4,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260618_06,site_a,2026-06-18T06:00:00+08:00,0,27,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260618_07,site_a,2026-06-18T07:00:00+08:00,0,28,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260618_08,site_a,2026-06-18T08:00:00+08:00,241,29.3,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260618_09,site_a,2026-06-18T09:00:00+08:00,465.5,30.5,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260618_10,site_a,2026-06-18T10:00:00+08:00,658.4,31.5,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260618_11,site_a,2026-06-18T11:00:00+08:00,806.2,32.3,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260618_12,site_a,2026-06-18T12:00:00+08:00,899.2,32.8,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260618_13,site_a,2026-06-18T13:00:00+08:00,931,33,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260618_14,site_a,2026-06-18T14:00:00+08:00,899.2,32.8,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260618_15,site_a,2026-06-18T15:00:00+08:00,806.2,32.3,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260618_16,site_a,2026-06-18T16:00:00+08:00,658.4,31.5,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260618_17,site_a,2026-06-18T17:00:00+08:00,465.5,30.5,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260618_18,site_a,2026-06-18T18:00:00+08:00,241,29.3,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260618_19,site_a,2026-06-18T19:00:00+08:00,0,29,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260618_20,site_a,2026-06-18T20:00:00+08:00,0,28.5,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260618_21,site_a,2026-06-18T21:00:00+08:00,0,28,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260618_22,site_a,2026-06-18T22:00:00+08:00,0,27.6,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260618_23,site_a,2026-06-18T23:00:00+08:00,0,27.4,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260619_00,site_a,2026-06-19T00:00:00+08:00,0,27.2,0.45,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260619_01,site_a,2026-06-19T01:00:00+08:00,0,26.8,0.45,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260619_02,site_a,2026-06-19T02:00:00+08:00,0,26.5,0.45,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260619_03,site_a,2026-06-19T03:00:00+08:00,0,26.3,0.45,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260619_04,site_a,2026-06-19T04:00:00+08:00,0,26.2,0.45,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260619_05,site_a,2026-06-19T05:00:00+08:00,0,26.4,0.45,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260619_06,site_a,2026-06-19T06:00:00+08:00,0,27,0.45,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260619_07,site_a,2026-06-19T07:00:00+08:00,0,28,0.45,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260619_08,site_a,2026-06-19T08:00:00+08:00,193.7,29.3,0.45,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260619_09,site_a,2026-06-19T09:00:00+08:00,374.2,30.5,0.45,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260619_10,site_a,2026-06-19T10:00:00+08:00,529.2,31.5,0.45,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260619_11,site_a,2026-06-19T11:00:00+08:00,648.1,32.3,0.45,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260619_12,site_a,2026-06-19T12:00:00+08:00,722.9,32.8,0.45,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260619_13,site_a,2026-06-19T13:00:00+08:00,748.4,33,0.45,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260619_14,site_a,2026-06-19T14:00:00+08:00,722.9,32.8,0.45,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260619_15,site_a,2026-06-19T15:00:00+08:00,648.1,32.3,0.45,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260619_16,site_a,2026-06-19T16:00:00+08:00,529.2,31.5,0.45,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260619_17,site_a,2026-06-19T17:00:00+08:00,374.2,30.5,0.45,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260619_18,site_a,2026-06-19T18:00:00+08:00,193.7,29.3,0.45,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260619_19,site_a,2026-06-19T19:00:00+08:00,0,29,0.45,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260619_20,site_a,2026-06-19T20:00:00+08:00,0,28.5,0.45,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260619_21,site_a,2026-06-19T21:00:00+08:00,0,28,0.45,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260619_22,site_a,2026-06-19T22:00:00+08:00,0,27.6,0.45,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260619_23,site_a,2026-06-19T23:00:00+08:00,0,27.4,0.45,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260620_00,site_a,2026-06-20T00:00:00+08:00,0,27.2,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260620_01,site_a,2026-06-20T01:00:00+08:00,0,26.8,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260620_02,site_a,2026-06-20T02:00:00+08:00,0,26.5,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260620_03,site_a,2026-06-20T03:00:00+08:00,0,26.3,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260620_04,site_a,2026-06-20T04:00:00+08:00,0,26.2,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260620_05,site_a,2026-06-20T05:00:00+08:00,0,26.4,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260620_06,site_a,2026-06-20T06:00:00+08:00,0,27,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260620_07,site_a,2026-06-20T07:00:00+08:00,0,28,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260620_08,site_a,2026-06-20T08:00:00+08:00,238.5,29.3,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260620_09,site_a,2026-06-20T09:00:00+08:00,460.8,30.5,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260620_10,site_a,2026-06-20T10:00:00+08:00,651.6,31.5,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260620_11,site_a,2026-06-20T11:00:00+08:00,798,32.3,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260620_12,site_a,2026-06-20T12:00:00+08:00,890.1,32.8,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260620_13,site_a,2026-06-20T13:00:00+08:00,921.5,33,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260620_14,site_a,2026-06-20T14:00:00+08:00,890.1,32.8,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260620_15,site_a,2026-06-20T15:00:00+08:00,798,32.3,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260620_16,site_a,2026-06-20T16:00:00+08:00,651.6,31.5,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
wx_site_a_20260620_17,site_a,2026-06-20T17:00:00+08:00,460.8,30.5,0.2,0.0,demo_fixture,True,"[""fixture_data""]"
